hidden_layer_sizes,activation,learning_rate,lam,alpha,tol,batch_size,shuffle,max_iter,score
"[32, 32]",relu,0.01,0.0,0.9,1e-05,64,False,3000,1.198435769197196
"[64, 64]",relu,0.03,0.0,0.0,1e-05,64,False,3000,1.198518958699926
"[64, 64]",relu,0.01,5e-05,0.0,1e-05,64,False,3000,1.1986579639574475
"[64, 64]",relu,0.01,0.0,0.7,1e-05,64,False,3000,1.1995936667724365
"[32, 32]",relu,0.003,0.0,0.7,1e-05,64,False,3000,1.2004825432093609
"[64, 64]",relu,0.01,0.0001,0.7,1e-05,32,False,3000,1.200536153960181
"[32, 32]",relu,0.01,0.0001,0.7,1e-05,32,True,3000,1.2011457858523746
"[32, 32]",relu,0.03,0.0,0.0,1e-05,64,True,3000,1.2015598315940923
"[32, 32]",relu,0.1,5e-05,0.9,1e-05,64,False,3000,1.2024433309211426
"[32, 32]",relu,0.1,5e-05,0.7,1e-05,32,False,3000,1.2038304945131597
"[32, 32]",relu,0.001,0.0,0.7,1e-05,32,True,3000,1.2044861425779465
"[64, 64]",relu,0.01,0.0001,0.7,1e-05,64,False,3000,1.2048975765706642
"[32, 32]",relu,0.01,0.0,0.9,1e-05,32,False,3000,1.2049187295772117
"[64, 64]",relu,0.01,5e-05,0.0,1e-05,64,True,3000,1.2064342802099464
"[64, 64]",relu,0.001,0.0,0.7,1e-05,32,False,3000,1.206663443631323
"[64, 64]",relu,0.01,0.0,0.9,1e-05,64,True,3000,1.20730913051748
"[32, 32]",relu,0.001,0.0,0.9,1e-05,32,True,3000,1.2085558421687963
"[32, 32]",relu,0.003,0.0,0.0,1e-05,32,False,3000,1.2098009686878315
"[32, 32]",relu,0.01,0.0001,0.7,1e-05,32,False,3000,1.2112450859325945
"[32, 32]",relu,0.01,0.0001,0.7,1e-05,64,True,3000,1.2122507639514457
"[32, 32]",relu,0.01,5e-05,0.0,1e-05,64,True,3000,1.2180089849066984
"[32, 32]",relu,0.01,0.0,0.7,1e-05,32,False,3000,1.2181012460262124
"[32, 32]",relu,0.001,0.0,0.9,1e-05,32,False,3000,1.222243788039364
"[32, 32]",relu,0.001,0.0,0.7,1e-05,32,False,3000,1.2235824895325864
"[32, 32]",relu,0.05,0.0,0.0,1e-05,64,True,3000,1.2241244431013965
"[32, 32]",relu,0.01,0.0001,0.7,1e-05,64,False,3000,1.2260861928341846
"[32, 32]",relu,0.03,0.0,0.0,1e-05,64,False,3000,1.2261803982560742
"[64, 64]",relu,0.001,0.0,0.0,1e-05,32,False,3000,1.226990120975162
"[64, 64]",relu,0.1,5e-05,0.9,1e-05,64,False,3000,1.2285556940784947
"[64, 64]",relu,0.01,0.0,0.7,1e-05,32,False,3000,1.2285658751129316
"[32, 32]",relu,0.01,5e-05,0.0,1e-05,64,False,3000,1.2301867999229188
"[64, 64]",relu,0.03,0.0,0.0,1e-05,64,True,3000,1.232885617417019
"[64, 64]",relu,0.001,0.0,0.7,1e-05,64,False,3000,1.2355245831233577
"[32, 32]",relu,0.05,0.0,0.0,1e-05,64,False,3000,1.2384168789948338
"[32, 32]",relu,0.03,0.0,0.7,1e-05,64,True,3000,1.2389814751304438
"[64, 64]",relu,0.001,0.0,0.0,1e-05,32,True,3000,1.2421781660925897
"[32, 32]",relu,0.003,0.0,0.0,1e-05,64,True,3000,1.2427921361387262
"[64, 64]",relu,0.01,0.0,0.9,1e-05,32,True,3000,1.2431728685727197
"[64, 64]",relu,0.001,0.0,0.9,1e-05,64,True,3000,1.2437393494973146
